"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"1","thousand_grain_weight","~","stem_diameter","STD_TGW",0.236769344657291,0.0287271774217403,8.24199820195727,2.22044604925031e-16,0.180465111533188,0.293073577781395
"2","thousand_grain_weight","~","flag_leaf_area","FLA_TGW",0.0931093780592872,0.0292648742451271,3.18160868484821,0.00146459558409306,0.0357512785267443,0.15046747759183
"3","thousand_grain_weight","~","anthesis_score","ANT_TGW",-0.101413642208502,0.035731457285781,-2.83821735557533,0.00453662782572262,-0.171446011603764,-0.03138127281324
"4","thousand_grain_weight","~","spikelet_density","SPD_TGW",-0.277007347749342,0.0281001623157974,-9.85785578874087,0,-0.332082653848034,-0.221932041650649
"5","thousand_grain_weight","~","height","HIT_TGW",0.226353325599474,0.0313899852429659,7.21100452413231,5.55333556917503e-13,0.164830085048017,0.287876566150931
"6","thousand_grain_weight","~","emergence_percent","EMP_TGW",0.0580767593645553,0.0369765266240773,1.57063858255249,0.116266622661548,-0.0143959010920226,0.130549419821133
"7","thousand_grain_weight","~","reproductive_tiller_ct","RTC_TGW",0.0385910865220015,0.0294660801869721,1.30967832426737,0.190304679336578,-0.019161369410033,0.096343542454036
"8","floret_site_utilization","~","stem_diameter","STD_FSU",0.194474763251517,0.0306012050085581,6.35513415883881,2.08244754773546e-10,0.134497503551216,0.254452022951817
"9","floret_site_utilization","~","flag_leaf_area","FLA_FSU",0.193590363009791,0.0305959010345362,6.32733001689569,2.49439580102262e-10,0.133623498907548,0.253557227112034
"10","floret_site_utilization","~","anthesis_score","ANT_FSU",0.170104639469447,0.0367996951934955,4.62244696797144,3.7923978188914e-06,0.0979785622481436,0.242230716690749
"11","floret_site_utilization","~","spikelet_density","SPD_FSU",-0.179711847467832,0.0289470268269874,-6.20830071917046,5.35605781948334e-10,-0.236446977508242,-0.122976717427422
"12","floret_site_utilization","~","height","HIT_FSU",0.034071128268767,0.0322984735249223,1.05488354557923,0.291478588577906,-0.0292327165957011,0.0973749731332351
"13","floret_site_utilization","~","emergence_percent","EMP_FSU",0.154978862872298,0.0382447888285187,4.05228705974009,5.07193801122519e-05,0.0800204541720621,0.229937271572535
"14","floret_site_utilization","~","reproductive_tiller_ct","RTC_FSU",-0.019698406575891,0.0307553239541235,-0.640487695895331,0.521855585811013,-0.0799777338588351,0.040580920707053
"15","floret_site_utilization","~","florets_per_spikelet","FPS_FSU",-0.465112613566783,0.0280844191529343,-16.5612331533012,0,-0.520157063633261,-0.410068163500305
"16","yield_per_spike","~","floret_site_utilization","FSU_YPS",0.696372486954719,0.0108086016336117,64.4276207561577,0,0.675188017029599,0.717556956879839
"17","yield_per_spike","~","thousand_grain_weight","TGW_YPS",0.352760087508566,0.0103228345699937,34.1727928619496,0,0.332527703533014,0.372992471484119
"18","yield_per_spike","~","spikelets_per_spike","SPS_YPS",0.392070486424944,0.0108587072289173,36.1065528482839,0,0.370787811337601,0.413353161512286
"19","yield_per_spike","~","florets_per_spikelet","FPS_YPS",0.491863292909323,0.0110287607444563,44.5982376720398,0,0.47024731905608,0.513479266762566
